25.0    0   0   0.  -1.5    2.41473e16  0   1.875e48   -1.5     2.48717e15
24.0    0   0   9.56693e50  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
23.0    0   0   1.91339e51  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
22.0    0   0   6.69686e51  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
21.0    0   0   1.91339e52  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
20.0    0   0   6.69686e52  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
19.0    0   0   1.91339e53  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
18.0    0   0   3.82677e53  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
17.0    0   0   7.65354e53  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
16.0    0   0   1.91339e54  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
15.0    0   0   3.82677e54  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
14.0    0   0   6.69685e54  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
13.0    0   0   9.56693e54  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
12.0    0   0   1.91339e55  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
11.0    0   0   2.87008e55  -1.5    2.41473e16  0   1.875e48    -1.5    2.48717e15
